,path,class,span
22,./train_embeddings/article712382330_0.pt,Appeal_to_Authority,"""The document is very good and completely explains the meaning of chapter VIII of Amoris Laetitia. There are no other interpretations."""
23,./train_embeddings/article712382330_1.pt,Loaded_Language,the most tyrannical and unprincipled papacy of recent history—
24,./train_embeddings/article712382330_2.pt,Loaded_Language,a gross understatement
25,./train_embeddings/article712382330_3.pt,Loaded_Language,the Mystical Body would then be without its head
26,./train_embeddings/article712382330_4.pt,NoClass,"clarification has now been provided for the Church at large. Concerning these guidelines that allow ""the possibility of access to the sacraments"
27,./train_embeddings/article712382330_5.pt,NoClass,"issue of the intended meaning of Amoris Laetitia chapter VIII,"
28,./train_embeddings/article712382330_6.pt,NoClass,the granting of favors;
29,./train_embeddings/article712382330_7.pt,NoClass,"Encyclopedia defines a papal rescript as follows: ""Rescripts are responses"
30,./train_embeddings/article738447109_0.pt,Slogans,From Bad To Worse
31,./train_embeddings/article738447109_1.pt,Slogans,From Bad To Worse
32,./train_embeddings/article738447109_2.pt,Appeal_to_Popularity,"a lot of us can just shout out, “What are you thinking?”"
33,./train_embeddings/article738447109_3.pt,Doubt,"a lot of us can just shout out, “What are you thinking?” as President Donald Trump brings CIA Director Mike Pompeo, a man that blasted the likes of Edward Snowden for revealing the crimes of our government, to the State Department and installs Gina Haspel in the position of head of the Central Intelligence Agency"
34,./train_embeddings/article738447109_4.pt,Loaded_Language,"shout out, “What are you thinking"
35,./train_embeddings/article738447109_5.pt,Exaggeration-Minimisation,He will do a fantastic job!
36,./train_embeddings/article738447109_6.pt,Appeal_to_Authority,He will do a fantastic job
37,./train_embeddings/article738447109_7.pt,Exaggeration-Minimisation,He will do a fantastic job!
38,./train_embeddings/article738447109_8.pt,Appeal_to_Authority,He will do a fantastic job
39,./train_embeddings/article738447109_9.pt,Loaded_Language,His voice quivering
40,./train_embeddings/article738447109_10.pt,Name_Calling-Labeling,The deposed diplomat
41,./train_embeddings/article738447109_11.pt,Appeal_to_Fear-Prejudice,respond to the troubling behavior and actions on the part of the Russian government
42,./train_embeddings/article738447109_12.pt,Doubt,will be much happier now
43,./train_embeddings/article738447109_13.pt,Flag_Waving,his un-American comments
44,./train_embeddings/article738447109_14.pt,Name_Calling-Labeling,NSA whistleblower
45,./train_embeddings/article738447109_15.pt,Doubt,"The new CIA Director Haspel, who ‘tortured some folks,’ probably can’t travel to the EU to meet other spy chiefs without facing arrest due to an @ECCHRBerlin complaint to Germany’s federal prosecutor"
46,./train_embeddings/article738447109_16.pt,Exaggeration-Minimisation,"tortured some folks,’"
47,./train_embeddings/article738447109_17.pt,Doubt,"The new CIA Director Haspel, who ""tortured some folks,"" probably can't travel to the EU to meet other spy chiefs without facing arrest due to an @ECCHRBerlin complaint to Germany's federal prosecutor"
48,./train_embeddings/article738447109_18.pt,Exaggeration-Minimisation,"tortured some folks,"""
49,./train_embeddings/article738447109_19.pt,Flag_Waving,Are these really the values the US should be promoting?
50,./train_embeddings/article738447109_20.pt,Doubt,Are these really the values the US should be promoting
51,./train_embeddings/article738447109_21.pt,Causal_Oversimplification,The CIA might as well start issuing uniforms decorated with skulls and lightning bolts
52,./train_embeddings/article738447109_22.pt,Exaggeration-Minimisation,start issuing uniforms decorated with skulls and lightning bolts
53,./train_embeddings/article738447109_23.pt,Loaded_Language,uniforms decorated with skulls and lightning bolts.”
54,./train_embeddings/article738447109_24.pt,Flag_Waving,Are these really the values the US should be promoting?
55,./train_embeddings/article738447109_25.pt,Doubt,Are these really the values the US should be promoting
56,./train_embeddings/article738447109_26.pt,Causal_Oversimplification,The CIA might as well start issuing uniforms decorated with skulls and lightning bolts
57,./train_embeddings/article738447109_27.pt,Loaded_Language,uniforms decorated with skulls and lightning bolts
58,./train_embeddings/article738447109_28.pt,Loaded_Language,horrific torture of detainees
59,./train_embeddings/article738447109_29.pt,Loaded_Language,particularly gruesome torture
60,./train_embeddings/article738447109_30.pt,Appeal_to_Authority,"This isn’t a radical departure for CIA,” Greenwald added. “After all, Haspel did this under George Tenet. At the time, John Brennan – who became Obama’s CIA director – was an advocate of rendition & other torture methods. And Pompeo was fine with black sites. Still notable: she’s an actual torturer"
61,./train_embeddings/article738447109_31.pt,Name_Calling-Labeling,she’s an actual torturer.”
62,./train_embeddings/article738447109_32.pt,Conversation_Killer,"This is more of the same old, same old going on"
63,./train_embeddings/article738447109_33.pt,Appeal_to_Fear-Prejudice,and it looks like it’s about to get a lot worse
64,./train_embeddings/article738447109_34.pt,NoClass,Pompeo becoming Secretary of State.
65,./train_embeddings/article738447109_35.pt,NoClass,"(@realDonaldTrump) March 13, 2018 The"
66,./train_embeddings/article738447109_36.pt,NoClass,from The Intercept and The New Yorker for those who want to know
67,./train_embeddings/article738447109_37.pt,NoClass,"Gina Haspel. Want to know more about Gina Haspel? 1) https://t.co/7nTSnPYDbZ 2) https://t.co/Rg6nMJBxch — Edward Snowden (@Snowden) March 13, 2018 Glenn Greenwald, author of the above piece at The Intercept wrote, “Haspel, who will be the first woman to lead CIA, didn’t just oversee the Bush CIA’s black site but directly participated in the horrific torture"
68,./train_embeddings/article738447109_38.pt,NoClass,likes of Edward Snowden for revealing the
69,./train_embeddings/article738447109_39.pt,NoClass,"Greenwald added. “After all, Haspel did this"
70,./train_embeddings/article738447109_40.pt,NoClass,"CIA, will become our new Secretary of"
71,./train_embeddings/article738447109_41.pt,NoClass,Gina Haspel? 1) https://t.co/7nTSnPYDbZ 2) https://t.co/Rg6nMJBxch —
72,./train_embeddings/article738447109_42.pt,NoClass,He will do a fantastic job! Thank
73,./train_embeddings/article738447109_43.pt,NoClass,He will do a
74,./train_embeddings/article738447109_44.pt,NoClass,"at The Intercept wrote,"
75,./train_embeddings/article738447109_45.pt,NoClass,to Rex Tillerson for his service! Gina Haspel will become the new Director of the
76,./train_embeddings/article738447109_46.pt,NoClass,"of the CIA, and the first"
77,./train_embeddings/article738447109_47.pt,NoClass,will become the new
78,./train_embeddings/article738447109_48.pt,NoClass,"CIA director, but"
79,./train_embeddings/article738447109_49.pt,NoClass,"as well start issuing uniforms decorated with skulls and lightning bolts. https://t.co/ZIeHWP57l3 — Edward Snowden (@Snowden) March 13, 2018 Snowden then offered a piece from The Intercept and The New Yorker for those"
80,./train_embeddings/article738447109_50.pt,NoClass,blasted the likes of
81,./train_embeddings/article738447109_51.pt,NoClass,of tapes to prevent them being seen by Congress. Incredible.” Snowden tweeted. The new CIA director was a key part of the torture program and its illegal cover-up. Her name was on the
82,./train_embeddings/article738447109_52.pt,NoClass,"Greenwald, author of the"
83,./train_embeddings/article738447109_53.pt,NoClass,his service! Gina Haspel will become the new Director of the
84,./train_embeddings/article738447109_54.pt,NoClass,the US should be promoting? The CIA might as well start
85,./train_embeddings/article738447109_55.pt,NoClass,"the 2015 Iran nuclear deal, the approach to North Korea and the overall tone of"
86,./train_embeddings/article738447109_56.pt,NoClass,new CIA director was a key part of the torture
87,./train_embeddings/article738447109_57.pt,NoClass,Are these really the values the US should
88,./train_embeddings/article738447109_58.pt,NoClass,EU to meet other spy chiefs without facing arrest due to
89,./train_embeddings/article738447109_59.pt,NoClass,Snowden then offered a piece from The Intercept and The New
90,./train_embeddings/article738447109_60.pt,NoClass,"a lot of us can just shout out, “What are you thinking?” as President Donald"
91,./train_embeddings/article738447109_61.pt,NoClass,overall tone of U.S. diplomacy. Tillerson said he
92,./train_embeddings/article738447109_62.pt,NoClass,"areas of foreign policy, such"
93,./train_embeddings/article738447109_63.pt,NoClass,of tapes to prevent
94,./train_embeddings/article738447109_64.pt,NoClass,"Secretary of State. He will do a fantastic job! Thank you to Rex Tillerson for his service! Gina Haspel will become the new Director of the CIA, and the first woman so chosen. Congratulations to all!” he tweeted. Mike Pompeo, Director of the CIA, will become our new Secretary of State. He"
95,./train_embeddings/article738447109_65.pt,NoClass,of the torture program and
96,./train_embeddings/article738447109_66.pt,NoClass,2018 Snowden then offered a piece from The Intercept and The New
97,./train_embeddings/article738447109_67.pt,NoClass,become our new Secretary of State. He will do a fantastic job!
98,./train_embeddings/article999001256_0.pt,Name_Calling-Labeling,Defeated Georgia gubernatorial candidate
99,./train_embeddings/article999001256_1.pt,Loaded_Language,"gross mismanagement"""
100,./train_embeddings/article999001256_2.pt,Doubt,"If you ask me, all she's looking for here will only hurt herself and her own party"
101,./train_embeddings/article999001256_3.pt,Conversation_Killer,Talk about a poor sport
102,./train_embeddings/article999001256_4.pt,Appeal_to_Hypocrisy,"You mean like having a sister waiting in the wings of any campaign lawsuits, Ms. Abrams? What about invalid provisional ballots getting mixed in with valid ones? Maybe a little electronic voter manipulation, Ms. Abrams? How about non-citizens and illegal aliens voting, Ms. Abrams"
103,./train_embeddings/article999001256_5.pt,Loaded_Language,baldly pin his hopes
104,./train_embeddings/article999001256_6.pt,Loaded_Language,sink any chances
105,./train_embeddings/article999001256_7.pt,Doubt,"Good!
Thank God, Georgia didn't elect this peach"
106,./train_embeddings/article999001256_8.pt,Name_Calling-Labeling,peach
107,./train_embeddings/article999001256_9.pt,NoClass,Georgia gubernatorial candidate Stacey Abrams
108,./train_embeddings/article999001256_10.pt,NoClass,sure if he
109,./train_embeddings/article999001256_11.pt,NoClass,"only hurt herself and her own party. This woman wouldn't even concede! Talk about a poor sport, but"
110,./train_embeddings/article999001256_12.pt,NoClass,Georgia Gubernatorial Race - Won't Concede
111,./train_embeddings/article999001256_13.pt,NoClass,"to certify the vote, Abrams acknowledged the law “allows no further viable remedy” to extend her quest to be the nation’s first black female governor. But she laced her speech with biting criticism of Kemp, who she accused of leveraging his role as the state’s"
112,./train_embeddings/article999001256_14.pt,NoClass,charge. You may opt out
113,./train_embeddings/article999001256_15.pt,NoClass,of the erosion of
114,./train_embeddings/article999001256_16.pt,NoClass,to be the nation’s first black female governor. But
115,./train_embeddings/article999001256_17.pt,NoClass,looking for
116,./train_embeddings/article730222442_0.pt,Loaded_Language,is tumbling chaotically as the result of a violent collision
117,./train_embeddings/article730222442_1.pt,Repetition,its topsy-turvy spin
118,./train_embeddings/article730222442_2.pt,NoClass,"collision that caused it to start tumbling."" The team think 'Oumuamua"
119,./train_embeddings/article730222442_3.pt,NoClass,Still Spinning From Mysterious
120,./train_embeddings/article111111133_0.pt,Loaded_Language,ballooned
121,./train_embeddings/article111111133_1.pt,Loaded_Language,testy
122,./train_embeddings/article111111133_2.pt,Loaded_Language,ire
123,./train_embeddings/article111111133_3.pt,Loaded_Language,insults
124,./train_embeddings/article111111133_4.pt,Loaded_Language,ominous encroachment
125,./train_embeddings/article111111133_5.pt,Loaded_Language,overly aggressive
126,./train_embeddings/article111111133_6.pt,Loaded_Language,grandstanding
127,./train_embeddings/article111111133_7.pt,Name_Calling-Labeling,devoted news consumer
128,./train_embeddings/article111111133_8.pt,Loaded_Language,severe
129,./train_embeddings/article111111133_9.pt,Loaded_Language,flouts
130,./train_embeddings/article111111133_10.pt,False_Dilemma-No_Choice,behave or else
131,./train_embeddings/article111111133_11.pt,NoClass,reporters. Codifying
132,./train_embeddings/article111111133_12.pt,NoClass,press pass
133,./train_embeddings/article111111133_13.pt,NoClass,preferred to
134,./train_embeddings/article111111133_14.pt,NoClass,reporters during
135,./train_embeddings/article111111133_15.pt,NoClass,and the Correspondents’
136,./train_embeddings/article111111133_16.pt,NoClass,testy questions had
137,./train_embeddings/article111111133_17.pt,NoClass,pass legal
138,./train_embeddings/article111111133_18.pt,NoClass,"Shine, the deputy chief"
139,./train_embeddings/article111111133_19.pt,NoClass,That notion
140,./train_embeddings/article111111133_20.pt,NoClass,often chastised
141,./train_embeddings/article111111133_21.pt,NoClass,the judge’s request for
142,./train_embeddings/article700662577_0.pt,Loaded_Language,Crisis Of Epic Proportions
143,./train_embeddings/article700662577_1.pt,Loaded_Language,devastating
144,./train_embeddings/article700662577_2.pt,Exaggeration-Minimisation,crisis of epic proportions
145,./train_embeddings/article700662577_3.pt,Loaded_Language,"the blurry picture feels like it’s worth a good deal more than 1,000 words. It illuminates just a small sliver of the public health crisis"
146,./train_embeddings/article700662577_4.pt,Loaded_Language,devastated
147,./train_embeddings/article700662577_5.pt,Exaggeration-Minimisation,the post-apocalyptic ravaged territory
148,./train_embeddings/article700662577_6.pt,Loaded_Language,The islands are grappling with
149,./train_embeddings/article700662577_7.pt,Appeal_to_Fear-Prejudice,"The islands are grappling with physician shortages, Medicaid programs facing an impending funding cliff, and widespread disparities in Federal health programs—and that was before hurricane season"
150,./train_embeddings/article700662577_8.pt,Flag_Waving,but more can and should be done to help Americans impacted by these disasters
151,./train_embeddings/article700662577_9.pt,Exaggeration-Minimisation,the power grid’s utter annihilation
152,./train_embeddings/article700662577_10.pt,Loaded_Language,utter annihilation
153,./train_embeddings/article700662577_11.pt,Loaded_Language,looming crisis
154,./train_embeddings/article700662577_12.pt,NoClass,health crisis. And it’s a
155,./train_embeddings/article700662577_13.pt,NoClass,communications were
156,./train_embeddings/article700662577_14.pt,NoClass,García Padilla tweeted a photo
157,./train_embeddings/article700662577_15.pt,NoClass,"be getting worse, not better, and Puerto Rico is experiencing a medical crisis of epic proportions."
158,./train_embeddings/article700662577_16.pt,NoClass,access to
159,./train_embeddings/article700662577_17.pt,NoClass,"— Alejandro (@agarciapadilla) October 21,"
160,./train_embeddings/article700662577_18.pt,NoClass,the islands’ health care system was
161,./train_embeddings/article700662577_19.pt,NoClass,"non-existent too. Some 33 days after Hurricane Maria made landfall on Puerto Rico, only 23 percent of residents have electricity, according to Status.pr, which provides daily updates"
162,./train_embeddings/article700662577_20.pt,NoClass,to disease. And calls for help have gone unanswered besides the few willing to travel
163,./train_embeddings/article700662577_21.pt,NoClass,crisis. And it’s a crisis of
164,./train_embeddings/article700662577_22.pt,NoClass,250 beds were
165,./train_embeddings/article700662577_23.pt,NoClass,becoming increasingly clear.
166,./train_embeddings/article999000158_0.pt,Loaded_Language,paralleled Jews with termites
167,./train_embeddings/article999000158_1.pt,Loaded_Language,"Yeah, right, Hakim"
168,./train_embeddings/article999000158_2.pt,Exaggeration-Minimisation,"I absolutely, unqualifiedly denounce and reject the views of Louis Farrakhan"
169,./train_embeddings/article999000158_3.pt,Loaded_Language,"absolutely, unqualifiedly denounce and reject"
170,./train_embeddings/article999000158_4.pt,Exaggeration-Minimisation,his views and mine were absolutely incompatible
171,./train_embeddings/article999000158_5.pt,Guilt_by_Association,"here's a still frame of Ellison just a few feet away from a man who has called on 10,000 blacks to stalk and murder white people"
172,./train_embeddings/article999000158_6.pt,Loaded_Language,to pull an Obama
173,./train_embeddings/article999000158_7.pt,Appeal_to_Popularity,Ellison is attempting to do that same
174,./train_embeddings/article999000158_8.pt,False_Dilemma-No_Choice,You’re a failure if you can’t keep a man
175,./train_embeddings/article999000158_9.pt,Exaggeration-Minimisation,Murder and lying comes easy for white people
176,./train_embeddings/article999000158_10.pt,Loaded_Language,praised him
177,./train_embeddings/article999000158_11.pt,Repetition,You're a failure if you can't keep a man
178,./train_embeddings/article999000158_12.pt,Repetition,Murder and lying comes easy for white people
179,./train_embeddings/article999000158_13.pt,Loaded_Language,praised him
180,./train_embeddings/article999000158_14.pt,Appeal_to_Fear-Prejudice,"If you like down with dogs, you're going to get fleas"
181,./train_embeddings/article999000158_15.pt,NoClass,Farrakhan’s newspaper in 1998.” In
182,./train_embeddings/article999000158_16.pt,NoClass,"in 1995, and was"
183,./train_embeddings/article999000158_17.pt,NoClass,"military force should be used. No, keep the military out of it."
184,./train_embeddings/article999000158_18.pt,NoClass,take our poll - story continues
185,./train_embeddings/article999000158_19.pt,NoClass,"role model” in 1995, and was photographed selling"
186,./train_embeddings/article999000158_20.pt,NoClass,"told women: “You’re a failure if you can’t keep a man.” In 1994, Farrakhan said: “Murder and lying comes easy for white people.” All this came *before*"
187,./train_embeddings/article999000158_21.pt,NoClass,"had to offer."" Ellison then"
188,./train_embeddings/article999000158_22.pt,NoClass,"GOP.com tweeted, Ellison knew what kind of man"
189,./train_embeddings/article999000158_23.pt,NoClass,"Doug Wardlow, Ellison was asked about his previous support of"
190,./train_embeddings/article999000158_24.pt,NoClass,"incompatible, and I’ve been saying that ever since.” Keith,"
191,./train_embeddings/article999000158_25.pt,NoClass,"aka Hakim Muhammad,"
192,./train_embeddings/article999000158_26.pt,NoClass,"Had Something To Offer"" Rep. Keith Ellison (D-MN), aka Hakim"
193,./train_embeddings/article999000158_27.pt,NoClass,"was asked about his previous support of Farrakhan, but"
194,./train_embeddings/article999000158_28.pt,NoClass,stop the caravan
195,./train_embeddings/article999000158_29.pt,NoClass,as their father because both men are following after the teaching of
196,./train_embeddings/article731178960_0.pt,Appeal_to_Fear-Prejudice,"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case"
197,./train_embeddings/article731178960_1.pt,NoClass,"the middle, and S as the most severe. Forecasts now say the particles will give our planet a glancing blow. Although this storm has been categorized"
198,./train_embeddings/article758756657_0.pt,Loaded_Language,outrage
199,./train_embeddings/article758756657_1.pt,Slogans,Stop the Islamization of America
200,./train_embeddings/article758756657_2.pt,Flag_Waving,America
201,./train_embeddings/article758756657_3.pt,Causal_Oversimplification,"In order to convert to Islam, one says the shahada. Saying the shahada makes you a Muslim. The shahada is what is on the black flag of jihad"
202,./train_embeddings/article758756657_4.pt,Flag_Waving,a national problem
203,./train_embeddings/article758756657_5.pt,Loaded_Language,egregious
204,./train_embeddings/article758756657_6.pt,Exaggeration-Minimisation,the most vicious and brutal ideology on the face of the Earth
205,./train_embeddings/article758756657_7.pt,Loaded_Language,most vicious
206,./train_embeddings/article758756657_8.pt,Loaded_Language,brutal ideology
207,./train_embeddings/article758756657_9.pt,Loaded_Language,frenzy
208,./train_embeddings/article758756657_10.pt,Repetition,Islamization
209,./train_embeddings/article758756657_11.pt,Loaded_Language,forced
210,./train_embeddings/article758756657_12.pt,Repetition,Islamization
211,./train_embeddings/article758756657_13.pt,Appeal_to_Fear-Prejudice,threatened
212,./train_embeddings/article758756657_14.pt,Repetition,threatened
213,./train_embeddings/article758756657_15.pt,Appeal_to_Fear-Prejudice,kill
214,./train_embeddings/article758756657_16.pt,Appeal_to_Fear-Prejudice,ripping my organs out
215,./train_embeddings/article758756657_17.pt,Repetition,kill
216,./train_embeddings/article758756657_18.pt,Repetition,kill
217,./train_embeddings/article758756657_19.pt,Loaded_Language,satanic
218,./train_embeddings/article758756657_20.pt,Repetition,rip out my organs
219,./train_embeddings/article758756657_21.pt,Repetition,threatened
220,./train_embeddings/article758756657_22.pt,Appeal_to_Fear-Prejudice,hang my 3-year-old and 1-year-old and kidnap my 14-year-old
221,./train_embeddings/article758756657_23.pt,Doubt,Is the principal acting on this?
222,./train_embeddings/article758756657_24.pt,Doubt,And do the police have any interest in this?
223,./train_embeddings/article758756657_25.pt,Doubt,Or would that be “islamofauxbic”?
224,./train_embeddings/article758756657_26.pt,NoClass,practice calligraphy.”
225,./train_embeddings/article758756657_27.pt,NoClass,Another student told my daughter that
226,./train_embeddings/article758756657_28.pt,NoClass,He sent
227,./train_embeddings/article758756657_29.pt,NoClass,"is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is “instructing junior high students to write"
228,./train_embeddings/article758756657_30.pt,NoClass,all the faith elements
229,./train_embeddings/article758756657_31.pt,NoClass,statements of
230,./train_embeddings/article758756657_32.pt,NoClass,"not the student’s faith. That distinction has been glossed over in many, many"
231,./train_embeddings/article758756657_33.pt,NoClass,to him yesterday
232,./train_embeddings/article758756657_34.pt,NoClass,“Muslims believe that…”
233,./train_embeddings/article758756657_35.pt,NoClass,students about
234,./train_embeddings/article758756657_36.pt,NoClass,to be
235,./train_embeddings/article758756657_37.pt,NoClass,appropriately. Is
236,./train_embeddings/article758756657_38.pt,NoClass,of Use.
237,./train_embeddings/article758756657_39.pt,NoClass,say the
238,./train_embeddings/article758756657_40.pt,NoClass,"outrage, but"
239,./train_embeddings/article758756657_41.pt,NoClass,the forced
240,./train_embeddings/article758756657_42.pt,NoClass,protect the teacher. The teacher
241,./train_embeddings/article758756657_43.pt,NoClass,Ridge Middle
242,./train_embeddings/article758756657_44.pt,NoClass,"in many,"
243,./train_embeddings/article758756657_45.pt,NoClass,gave the
244,./train_embeddings/article758756657_46.pt,NoClass,I warned about in my
245,./train_embeddings/article758756657_47.pt,NoClass,"minor, has"
246,./train_embeddings/article758756657_48.pt,NoClass,are dawah – proselytizing for Islam. Large public-school publishers have
247,./train_embeddings/article758756657_49.pt,NoClass,History lessons in Islam are dawah –
248,./train_embeddings/article758756657_50.pt,NoClass,Virginia – it’s a national problem. take our poll -
249,./train_embeddings/article758756657_51.pt,NoClass,in Islam are dawah – proselytizing
250,./train_embeddings/article784143418_0.pt,Loaded_Language,"Raise An Army"" ""Killing Non-Believers On Behalf Of Allah"
251,./train_embeddings/article784143418_1.pt,Name_Calling-Labeling,a jihad training camp
252,./train_embeddings/article784143418_2.pt,Loaded_Language,Raising an army for jihad slaughter
253,./train_embeddings/article784143418_3.pt,Loaded_Language,is scrubbing and censoring this story
254,./train_embeddings/article784143418_4.pt,Loaded_Language,jihad meant killing non-believers on behalf of Allah
255,./train_embeddings/article784143418_5.pt,Name_Calling-Labeling,black and Muslim
256,./train_embeddings/article784143418_6.pt,Loaded_Language,WAS TRAINING HIM TO CONDUCT “JIHAD” AGAINST NON-BELIEVERS
257,./train_embeddings/article784143418_7.pt,Repetition,JIHAD
258,./train_embeddings/article784143418_8.pt,Loaded_Language,jihad meant killing non-believers on behalf of Allah
259,./train_embeddings/article784143418_9.pt,Repetition,killing non-believers on behalf of Allah
260,./train_embeddings/article784143418_10.pt,Loaded_Language,exorcism” rituals
261,./train_embeddings/article784143418_11.pt,Appeal_to_Fear-Prejudice,The teenager said his mother and others at the compound told him not to talk to anyone about the three-year-old ever being at the compound because they would “all go to jail
262,./train_embeddings/article784143418_12.pt,Name_Calling-Labeling,black and Muslim
263,./train_embeddings/article784143418_13.pt,Name_Calling-Labeling,a “martyr
264,./train_embeddings/article784143418_14.pt,NoClass,"son told investigators that his mother’s boyfriend, Siraj Ibn Wahhaj,"
265,./train_embeddings/article784143418_15.pt,NoClass,conspiracy and firearms offenses. In
266,./train_embeddings/article784143418_16.pt,NoClass,"supposed “exorcism” rituals over the three-year-old boy,"
267,./train_embeddings/article784143418_17.pt,NoClass,"criminal complaint, an FBI special agent wrote"
268,./train_embeddings/article784143418_18.pt,NoClass,"Wahhaj perform supposed “exorcism” rituals over the three-year-old boy,"
269,./train_embeddings/article784143418_19.pt,NoClass,about the three-year-old ever
270,./train_embeddings/article784143418_20.pt,NoClass,mother and others at the compound told him not
271,./train_embeddings/article784143418_21.pt,NoClass,It was
272,./train_embeddings/article784143418_22.pt,NoClass,"heart stopped, according to the special agent’s affidavit. The"
273,./train_embeddings/article784143418_23.pt,NoClass,calling this prosecution “islamophobia.” The enemedia is
274,./train_embeddings/article784143418_24.pt,NoClass,told them jihad
275,./train_embeddings/article784143418_25.pt,NoClass,"meant killing non-believers on behalf of Allah, according to the affidavit filed in U.S. District Court in New Mexico. The 13-year-old also told the FBI that his mother believed she received messages from"
276,./train_embeddings/article784143418_26.pt,NoClass,affidavit filed in support
277,./train_embeddings/article784143418_27.pt,NoClass,The defense attorneys
278,./train_embeddings/article738442776_0.pt,Loaded_Language,Yikes!
279,./train_embeddings/article738442776_1.pt,Appeal_to_Authority,called her role in the torture programs of that era “extensive” and noted that at one point she ran a CIA “black site
280,./train_embeddings/article738442776_2.pt,Loaded_Language,one of the darkest chapters in American history
281,./train_embeddings/article738442776_3.pt,Loaded_Language,futile effort
282,./train_embeddings/article738442776_4.pt,Loaded_Language,desperately misguided decision
283,./train_embeddings/article738442776_5.pt,Flag_Waving,"the struggle upon which this country was founded, and which remains its highest aspiration"
284,./train_embeddings/article738442776_6.pt,Flag_Waving,Americans who value the Constitution should take this rare moment to agree with McCain
285,./train_embeddings/article738442776_7.pt,NoClass,Manual’s interrogation
286,./train_embeddings/article738442776_8.pt,NoClass,of torture carried out under the George W. Bush White House. A 2013 Washington Post report on the new CIA head called her role
